,caso,fecha,informacion,link,localidad,partido,provincia
36,37,2007 Febrero,"4 detenidos, dos de ellos concejales, suspendidos de militancia. Agilizar recalificación de terrenos para construir a cambio de comisión de 300.000 euros.
Condenados por corrupción urbanística.
El PP pide a Carlos Silva, uno de los condenados, que continúe aportando ""su experiencia"".[8]",http://www.laopinioncoruna.es/galicia/2010/09/08/condenados-ex-ediles-gondomar-corrupcion-urbanistica/418015.html,Gondomar,PP,Pontevedra
37,38,2009 Octubre,"Libertad con cargos el alcalde y diputado por Lugo, Juan José Díaz Valiño y un concejal. Trato de favor en la adjudicación de obras del municipio. Prevaricación y tráfico de influencias.",,Castro de Rei,PSOE,Lugo
38,39,2009 Octubre,"Imputado y encarcelado su ex alcalde Juan Enciso. Hay una veintena de encausados. Blanqueo, malversación, cohecho, tráfico de influencias y falsedad.",,El Ejido,PAL,Almería
39,40,2009 Febrero,Imputado el ex alcalde Juan Francisco Sierra. Cohecho. Existe un vídeo en el que se le ve pedir dinero a un constructor.,,Ohanes,PSOE,Almería
40,41,2006 Marzo,"Caso Malaya. El caso com mayor capital blanqueado: 2.400 millones de euros. Procesado el ex alcalde, Julián Muñoz; la alcaldesa del momento, Marisol Yagüe, y casi un centenar de personas más, entre ellas el cerebro de la trama, Juan Antonio Roca. Blanqueo, tráfico de influencias, falsedad, cohecho, fraude, prevaricación. Comisiones a promotores a cambio de licencias. http://www.abc.es/especiales/caso-malaya/cronologia.asp",http://www.abc.es/especiales/caso-malaya/cronologia.asp,Marbella,GIL-PSOE-PA,Málaga
41,42,2007 Enero,"Imputado el alcalde, Juan Martín Serón, el concejal de Urbanismo y una veintena más de personas. Cohecho y prevaricación. Cobro de comisiones a promotores a cambio de licencias (caso Troya).
Pese a estar imputado y enfrentarse a una petición de cuatro años de cárcel [9], vuelve a ser candidato en las próximas elecciones [10]. Finalmente, en enero de 2012, fueron condenados e inhabilitados Juan Martín Serón y el concejal de urbanismo, Gregorio Guerra [11]",http://www.elpais.com/articulo/espana/corrupcion/presenta/elecciones/elpepuesp/20110410elpepinac_1/Tes,Alhaurín el Grande,PP,Málaga
42,43,2008 Junio,"Caso Astapa. El ex alcalde Antonio Barrientos y varios ediles,entre los 63 imputados. Cohecho, tráfico de influencias, malversación y blanqueo. Cobro de comisiones a cambio de un trato de favor.
Imputada en la trama de Estepona la hija del presidente del Senado
El 'caso Astapa' de corrupción suma cinco nuevos imputados",http://www.elpais.com/articulo/espana/Imputada/trama/Estepona/hija/presidente/Senado/elpepunac/20080718elpepinac_10/Tes,Estepona,PSOE,Málaga
43,44,"2009 Febrero , 2011, 2012","Detenido el alcalde, José Manuel Martín y otras 20 personas, entre ellas sus 2 hijas. Cohecho, blanqueo, prevaricación y falsedad. El alcalde guardaba 160.000 euros. La trama construía viviendas sobre suelo no urbanizable.[12]
2011 - La investigación alcanza a medio centenar de imputados..
- 2012 -  Detenidos 7 funcionarios de la Gerencia del Catastro en Málaga y del Patronato de Recaudación Provincial, junto al exalcalde socialista del municipio José Manuel Martín Alba, que ya fue arrestado el 27 de febrero de 2009. ",http://www.elmundo.es/elmundo/2009/02/27/espana/1235724636.html,Alcaucín,PSOE-PP,Málaga
44,45,2009 Octubre,"El alcalde, Cristóbal Torreblanca, está en libertad con cargos. Prevaricación, cohecho, tráfico de influencias, falsedad y alteración del precio de las cosas. Edificación en terreno no urbanizable.",,Almogia,PSOE,Málaga
45,46,2007 Febrero,"Detenido ex alcalde Juan Carlos Juárez. Adjudicación de 2,2 hectáreas de suelo a la empresa Roseworld por 12 mill. de euros.
Condenado a 7 años y medio de inhabilitación.",http://es.noticias.yahoo.com/5/20110316/ttr-condenado-a-siete-aos-y-medio-de-inh-c2ebf40.html,La Línea,PP,Cádiz
46,47,2007 Enero,"Implicado ex alcalde José Antonio Morales, y el ex edil de Urbanismo Gabriel Cañavate. Prevaricación. Irregularidades en la construcción de un macrocentro comercial.
Condenados a 7 meses de cárcel y 7 años de inhabilitación.",http://actualidad.orange.es/nacional/carcel-e-inhabilitacion-para-un-ex-alcalde-y-un-ex-edil-urbanismo-armilla.html,Armilla,PSOE,Granada
